bill,tip,sex,smoker,day,time,price_per_person,name
45.3,6.5,Male,No,Fri,Dinner,15.1,John
32.5,5.0,Female,Yes,Sat,Lunch,10.83,Emma
60.7,10.0,Male,No,Sun,Dinner,20.23,David
25.4,3.5,Female,Yes,Mon,Lunch,8.47,Sophia
80.2,12.5,Male,No,Tue,Dinner,26.73,Michael
55.6,8.0,Female,Yes,Wed,Lunch,18.53,Olivia
38.9,5.2,Male,No,Thu,Dinner,12.97,Daniel
90.1,14.3,Female,Yes,Fri,Lunch,30.03,Ava
28.4,4.1,Male,No,Sat,Dinner,9.47,James
74.3,11.0,Female,Yes,Sun,Lunch,24.77,Isabella
50.1,7.2,Female,Yes,Mon,Lunch,16.7,Ethan
41.2,6.0,Male,No,Tue,Dinner,13.7,Mia
67.8,9.5,Female,Yes,Wed,Lunch,22.6,Liam
29.5,4.0,Male,No,Thu,Dinner,9.8,Charlotte
85.6,11.8,Female,Yes,Fri,Lunch,28.5,Noah
62.4,7.5,Male,No,Sat,Dinner,20.8,Amelia
48.3,6.7,Female,Yes,Sun,Lunch,16.1,William
99.9,13.2,Male,No,Mon,Dinner,33.3,Harper
33.2,5.0,Female,Yes,Tue,Lunch,11.1,Benjamin
79.5,10.9,Male,No,Wed,Dinner,26.5,Evelyn
53.7,7.8,Female,Yes,Thu,Lunch,17.9,Lucas
40.6,5.5,Male,No,Fri,Dinner,13.5,Abigail
72.3,8.9,Female,Yes,Sat,Lunch,24.1,Henry
27.8,3.8,Male,No,Sun,Dinner,9.3,Ella
88.1,12.0,Female,Yes,Mon,Lunch,29.4,Alexander
59.5,7.2,Male,No,Tue,Dinner,19.8,Scarlett
46.8,6.5,Female,Yes,Wed,Lunch,15.6,Matthew
93.7,14.0,Male,No,Thu,Dinner,31.2,Madison
31.5,4.5,Female,Yes,Fri,Lunch,10.5,Joseph
76.9,11.3,Male,No,Sat,Dinner,25.6,Lily
